,수상등급,분야,연도,직위,소속
746,장려상,식물,2014,학생,서울과학고등학교
747,우수상,식물,2014,학생,창동고등학교
748,특상,식물,2014,학생,창덕여자고등학교
749,우수상,식물,2014,학생,한서고등학교
750,장려상,식물,2014,학생,양정고등학교
751,장려상,식물,2014,학생,세종과학고등학교
752,우수상,식물,2014,학생,오남중학교
753,장려상,식물,2014,학생,목운중학교
754,특상,식물,2014,학생,성일초등학교
755,장려상,식물,2014,학생,봉화초등학교
756,장려상,식물,2014,학생,화랑초등학교
757,장려상,동물,2014,학생,경문고등학교
758,특상,동물,2014,학생,한성과학고등학교
759,장려상,동물,2014,학생,대진고등학교
760,특상,동물,2014,학생,목동고등학교
761,우수상,동물,2014,학생,목동고등학교
762,우수상,동물,2014,학생,보성고등학교
763,장려상,동물,2014,학생,서울과학고등학교
764,우수상,동물,2014,학생,서울과학고등학교
765,우수상,동물,2014,학생,서울과학고등학교
766,장려상,동물,2014,학생,인창고등학교
767,특상,동물,2014,학생,대청중학교
768,우수상,동물,2014,학생,서울사대부설중학교
769,장려상,동물,2014,학생,휘문중학교
770,장려상,동물,2014,학생,서울여자중학교
771,우수상,동물,2014,학생,충암초등학교
772,장려상,동물,2014,학생,인헌초등학교
773,장려상,화학,2014,학생,배재고등학교
774,장려상,화학,2014,학생,한성과학고등학교
775,특상,화학,2014,학생,한성과학고등학교
776,우수상,화학,2014,학생,한성과학고등학교
777,장려상,화학,2014,학생,세종과학고등학교
778,장려상,화학,2014,학생,세종과학고등학교
779,특상,화학,2014,학생,서울과학고등학교
780,우수상,화학,2014,학생,가락중학교
781,우수상,화학,2014,학생,대원국제중학교
782,우수상,화학,2014,학생,영훈초등학교
783,특상,물리,2014,학생,서울과학고등학교
784,장려상,물리,2014,학생,세종과학고등학교
785,장려상,물리,2014,학생,서울과학고등학교
786,우수상,물리,2014,학생,서울과학고등학교
787,장려상,물리,2014,학생,영일고등학교
788,장려상,물리,2014,학생,서울고등학교
789,우수상,물리,2014,학생,서울고등학교
790,특상,물리,2014,학생,강서고등학교
791,장려상,물리,2014,학생,한성과학고등학교
792,우수상,물리,2014,학생,한성과학고
793,우수상,물리,2014,학생,미성중학교
794,장려상,물리,2014,학생,창일중학교
795,우수상,물리,2014,학생,영림중학교
796,장려상,물리,2014,학생,세륜중학교
797,장려상,물리,2014,학생,신중초등학교
798,장려상,물리,2014,학생,남성초등학교
799,우수상,물리,2014,학생,원촌초등학교
800,우수상,물리,2014,학생,개운초등학교
801,장려상,물리,2014,학생,남성초등학교
802,장려상,물리,2013,학생,압구정중학교
803,우수상,동물,2013,학생,서울원광초등학교
804,장려상,환경,2013,학생,영신여자고등학교
805,장려상,환경,2013,학생,세종과학고등학교
806,장려상,환경,2013,학생,한성과학고등학교
807,장려상,환경,2013,학생,세종과학고등학교
808,장려상,환경,2013,학생,목운중학교
809,장려상,환경,2013,학생,광남초등학교
810,장려상,산업 및 에너지,2013,학생,서울과학고등학교
811,장려상,산업 및 에너지,2013,학생,서울과학고등학교
812,장려상,산업 및 에너지,2013,학생,여의도고등학교
813,장려상,산업 및 에너지,2013,학생,세종과학고등학교
814,장려상,산업 및 에너지,2013,학생,도곡중학교
815,장려상,산업 및 에너지,2013,학생,강남초등학교
816,장려상,농림수산,2013,학생,혜원여자고등학교
817,장려상,지구과학,2013,학생,서울과학고등학교
818,장려상,지구과학,2013,학생,하나고등학교
819,장려상,지구과학,2013,학생,잠실초등학교
820,장려상,식물,2013,학생,목동고등학교
821,장려상,식물,2013,학생,오남중학교
822,장려상,식물,2013,학생,보성중학교
823,장려상,식물,2013,학생,상지초등학교
824,장려상,식물,2013,학생,명원초등학교
825,장려상,동물,2013,학생,서울과학고등학교
826,장려상,동물,2013,학생,한양사대부속고등학교
827,장려상,동물,2013,학생,대원고등학교
828,장려상,동물,2013,학생,불암중학교
829,장려상,동물,2013,학생,충암초등학교
830,장려상,화학,2013,학생,반포고등학교
831,장려상,화학,2013,학생,대영중학교
832,장려상,화학,2013,학생,신암중학교
833,장려상,화학,2013,학생,대곡초등학교
834,장려상,물리,2013,학생,방산고등학교
835,장려상,물리,2013,학생,여의도고등학교
836,장려상,물리,2013,학생,관악고등학교
837,장려상,물리,2013,학생,장훈고등학교
838,장려상,물리,2013,학생,용문고등학교
839,장려상,물리,2013,학생,청운중학교
840,장려상,물리,2013,학생,미성중학교
841,장려상,물리,2013,학생,고명중학교
842,장려상,물리,2013,학생,우촌초등학교
843,우수상,환경,2013,학생,한성과학고등학교
844,우수상,환경,2013,학생,한양초등학교
845,우수상,환경,2013,학생,을지초등학교
846,우수상,산업 및 에너지,2013,학생,원촌중학교
847,우수상,농림수산,2013,학생,신화중학교
848,우수상,지구과학,2013,학생,한성과학고등학교
849,우수상,지구과학,2013,학생,신서초등학교
